Kabupaten/Kota,TOTAL,DAGING,TELUR DAN SUSU,IKAN,Daging_sapi,"Daging_kambing,_domba/biri-biri",Daging_babi,Daging_ayam_ras,Daging_ayam_kampung,Daging_segar_lainnya,Daging_diawetkan_lainnya,"Tetelan,_sandung_lamur",Daging_olahan_matang,"Lainnya_(_hati,_jeroan,_iga,_kaki,_buntut,_kepala,_dsb)",Ayam_matang,Telur_ayam_ras,Telur_ayam_kampung,Telur_itik/telur_itik_manila,"Telur_lainnya_(telur_puyuh,_telur_asin_mentah_maupun_matang,_telur_penyu,_telur_angsa,_dsb)",Susu_cair_pabrik,Susu_kental_manis,Susu_bubuk,Susu_bubuk_bayi,Susu_lainnya_dan_hasil_lain_dari_susu,Ekor_kuning,Tongkol_tuna_cakalang_dencis_ikan_kayu,Tongkol,Tuna,"Cakalang,dencis",Tenggiri,Selar,"Kembung,_lema/tatare,_banyar/banyara",Teri,Bandeng,Gabus,Mujair,"Mas,_nila",Mas,Nila,Lele,Kakap,Baronang,Patin,Bawal,Gurame,Ikan_segar/basah_lainnya,"Udang,_lobster","Cumi-cumi,_sotong,_gurita","Ketam,_kepiting,_rajungan","Kerang,_siput,_bekicot,_remis",Udang_dan_hewan_air_lainnya_yang_segar_lainnya,Kembung_diawetkan/peda,Tenggiri_diawetkan,Tongkol/tuna/cakalang_diawetkan,Teri_diawetkan,Selar_diawetkan,Sepat_diawetkan,Bandeng_diawetkan,Gabus_diawetkan,"Ikan_dalam_kaleng_(sardencis,_tuna_dalam_kaleng,_dsb)",Ikan_diawetkan_lainnya,"Udang_diawetkan_(ebi,_rebon)","Cumi-cumi,_sotong,_gurita_diawetkan",ang_dan_hewan_air_lainnya_yang_diawetkan,Ikan_matang
Kota Mojokerto,28775,10502,8314,9959,2660,0,5,3760,401,54,163,56,1111,215,2077,2757,149,14,100,429,247,2424,2042,152,75,191,0,0,0,48,0,71,50,1182,86,1943,139,0,0,1718,76,0,377,75,456,85,1274,78,39,44,32,9,13,503,41,49,6,20,0,5,298,12,2,10,1027
Kota Madiun,27511,9643,11483,6385,1251,0,39,3405,665,85,186,61,637,335,2979,2650,199,23,204,860,482,3909,2481,675,5,344,0,0,0,64,0,69,50,407,0,4,321,0,0,1464,120,10,175,36,440,119,446,158,0,0,45,89,121,623,70,25,5,63,36,61,126,17,11,47,819
Kota Surabaya,38446,14042,11403,13001,3259,30,193,4340,526,172,109,381,1208,318,3506,2926,97,15,241,756,482,3608,2898,380,60,670,0,0,0,165,0,171,76,1466,28,1709,143,0,0,1144,253,32,324,76,911,267,1288,619,162,129,234,52,37,689,108,6,8,84,9,61,278,14,22,22,1744
Kota Batu,23392,8781,8440,6171,1908,0,50,3308,243,27,88,6,522,204,2425,2626,105,32,68,505,362,2207,2166,369,22,556,0,0,0,36,0,48,23,575,4,715,103,0,0,689,44,0,74,56,420,72,782,324,87,9,16,1,0,446,10,21,1,59,0,7,568,12,5,6,402
Pandeglang,16643,5337,4415,6891,687,37,1,2638,587,31,10,24,805,236,281,2222,39,58,51,232,985,452,326,49,64,838,0,0,0,18,286,1186,138,317,16,82,799,0,0,306,117,0,7,345,72,236,101,227,10,31,8,239,7,124,234,181,34,5,37,49,488,23,27,51,252
Lebak,19820,5169,5489,9162,102,39,16,2649,753,12,2,7,580,166,843,3340,113,26,33,134,836,303,567,136,130,1198,0,0,0,75,212,741,107,600,39,216,1031,0,0,231,37,3,10,514,98,299,58,276,0,29,11,429,37,329,421,147,125,299,42,89,596,107,12,97,647
Tangerang,33663,10117,9533,14013,1204,0,23,4336,470,10,53,221,1378,296,2126,3705,66,36,161,231,1351,1632,2141,210,108,795,0,0,0,62,96,1946,223,1655,117,825,410,0,0,775,113,50,112,1441,274,260,658,684,33,128,89,145,12,197,687,89,248,40,144,113,94,212,242,25,1019
Serang,24491,6752,6311,11428,632,18,0,3380,549,61,37,9,1095,141,830,3011,42,118,22,242,1095,684,1057,39,19,414,0,0,0,30,203,1003,276,2471,135,583,373,0,0,737,26,30,86,1088,106,386,477,731,75,59,71,214,4,56,314,366,167,48,30,27,237,43,32,37,493
Kota Tangerang,46124,15368,14014,16742,2216,38,27,6698,255,146,585,336,1390,429,3248,4580,70,53,94,1363,945,3065,3198,646,130,1001,0,0,0,168,229,2206,139,1158,24,679,1117,0,0,1580,156,17,117,1002,393,147,1420,890,36,68,62,78,15,105,1068,59,191,30,144,65,183,96,421,41,1637
Kota Cilegon,35204,10861,9328,15015,967,0,0,4294,979,324,178,237,2234,91,1557,4179,47,14,83,908,806,2191,1013,88,81,267,0,0,0,15,566,1790,759,1246,11,782,359,0,0,1214,380,0,26,774,217,1066,1445,2107,64,64,43,170,8,15,320,146,84,24,19,12,85,3,184,15,735
Kota Serang,29777,9160,8766,11851,1093,26,0,4117,425,169,74,104,1375,461,1316,4063,49,36,48,603,1098,1420,1305,142,9,272,0,0,0,45,84,996,203,1799,34,756,266,0,0,1155,142,2,31,996,231,363,843,868,104,62,40,204,0,68,215,310,108,45,52,41,135,17,149,27,1188
Kota Tangerang Selatan,42538,15758,11956,14824,2913,26,23,7120,695,56,297,309,1333,244,2742,4330,92,11,115,1305,876,3393,1485,350,152,849,0,0,0,202,130,1529,66,1032,76,685,1898,0,0,1279,149,38,238,537,573,244,1441,495,16,59,23,50,25,79,689,29,159,58,249,98,179,103,303,54,1190
Jembrana,23914,10077,5508,8329,51,0,1986,4138,1873,0,14,0,780,97,1138,2827,96,21,16,12,222,873,1362,78,142,1424,0,0,0,60,97,625,306,12,23,22,36,0,0,35,10,0,0,0,0,3074,615,192,36,2,44,35,23,297,415,39,0,0,0,0,363,0,0,0,544
Tabanan,25865,11770,7098,6997,88,0,3737,4798,356,0,14,22,1073,274,1408,2978,64,25,39,370,117,1168,2056,281,84,576,0,0,0,34,126,122,147,66,1,427,167,0,0,278,70,8,0,2,164,294,697,23,0,0,246,0,89,2124,734,93,0,3,0,42,124,19,0,43,278
Badung,36149,15507,9083,11559,427,50,2832,6442,400,20,55,44,1290,356,3591,3310,88,39,43,604,323,2100,2368,209,521,2378,0,0,0,154,70,663,287,138,50,664,86,0,0,444,346,26,15,85,444,732,1158,688,150,52,67,0,44,1297,231,17,0,97,145,74,59,16,29,6,847
Gianyar,26699,14117,6590,5992,164,3,3934,5166,313,0,13,68,1411,212,2833,2494,41,89,60,256,104,944,2519,84,52,114,0,0,0,12,9,64,7,0,0,559,14,0,0,74,6,0,0,0,19,183,480,128,0,0,60,0,15,3335,312,0,0,0,0,30,5,4,0,4,558
Klungkung,25256,11144,6882,7230,180,51,3438,4353,431,0,7,0,583,198,1903,2484,88,49,46,277,28,1828,2037,44,5,2033,0,0,0,207,29,5,94,16,0,170,58,0,0,31,204,0,0,19,8,291,167,354,32,0,15,0,160,2338,342,15,0,35,0,0,0,0,0,0,607
Bangli,21664,10418,5430,5816,35,0,3258,5004,459,0,7,2,599,273,781,2639,68,44,31,40,185,1086,1219,119,0,147,0,0,0,33,0,8,27,0,0,2499,43,0,0,16,1,0,0,0,0,0,115,0,0,4,0,0,8,2258,531,2,0,16,0,0,1,0,0,24,83
Karangasem,16403,7242,4287,4874,90,0,2581,2824,562,24,9,7,433,33,679,2050,71,121,14,22,77,888,1042,2,57,1492,0,0,0,32,0,28,27,0,0,198,0,0,0,12,0,0,0,0,5,12,212,79,0,0,24,0,159,1944,555,0,0,0,0,0,0,0,0,0,95
Buleleng,21403,8388,5541,7474,42,0,1770,4291,517,0,40,124,680,133,791,2644,120,55,37,180,121,1020,1330,34,330,2367,0,0,0,137,412,91,760,9,0,113,54,0,0,29,97,0,0,0,45,686,443,408,0,0,35,6,28,536,442,162,0,98,0,0,365,0,15,26,110
Kota Denpasar,38447,17220,10674,10553,834,0,1960,7026,394,37,152,140,1690,610,4377,3117,338,23,239,939,346,2218,3130,325,332,1538,0,0,0,131,61,997,94,58,7,415,95,0,0,204,149,39,33,114,539,658,1316,467,0,2,56,54,2,1591,314,7,3,45,0,51,33,240,56,0,1184
Lombok Barat,26864,9934,6061,10869,2424,16,37,3081,1155,184,126,67,1193,443,1208,2847,183,121,145,674,370,1070,465,188,199,1347,0,0,0,91,211,491,282,49,13,801,1648,0,0,110,155,121,12,26,15,631,1049,611,178,85,53,44,54,950,648,93,14,5,19,8,250,64,73,28,640
Lombok Tengah,19553,7396,3951,8206,1293,0,0,1571,2129,182,10,95,665,271,1180,2075,303,170,73,191,293,463,293,90,32,1200,0,0,0,12,23,89,184,33,14,307,1791,0,0,124,46,23,0,10,28,674,324,657,8,26,33,16,22,984,701,82,16,0,0,0,229,56,91,63,340
Lombok Timur,19386,6139,4543,8704,1290,41,2,2352,1082,10,5,73,504,179,601,2632,82,83,157,111,376,663,397,42,204,1714,0,0,0,254,207,121,928,7,5,562,570,0,0,94,78,42,1,44,0,647,388,749,63,41,3,10,49,327,790,68,32,14,0,0,210,114,280,7,285
Sumbawa,28432,8240,5167,15025,1364,46,112,2627,1916,312,128,31,711,320,673,2428,149,63,101,267,521,596,835,207,722,1630,0,0,0,351,285,790,755,471,43,677,970,0,0,85,1225,940,13,44,26,2222,1344,968,317,112,37,43,76,29,686,4,0,2,0,2,217,0,11,19,631
Dompu,18416,3610,3910,10896,487,104,14,1478,960,55,4,0,134,16,358,2253,52,18,20,44,509,411,485,117,510,1328,0,0,0,173,1334,382,582,1856,4,249,713,0,0,26,349,62,0,0,5,1525,598,288,84,70,57,0,11,5,520,47,2,6,0,0,35,0,1,3,581
Bima,24915,6864,4078,13973,559,3,0,1200,1055,246,29,0,3286,4,482,2184,69,25,26,121,638,496,461,59,386,1852,0,0,0,388,186,542,1094,1528,62,330,141,0,0,32,256,266,15,9,41,3925,586,348,121,69,7,10,10,99,870,38,6,22,0,0,356,72,51,25,616
Sumbawa Barat,43047,11496,7317,24234,2359,0,0,3209,1222,1027,28,0,577,194,2880,3334,62,7,127,907,537,1207,1051,86,575,1479,0,0,0,1147,1228,1406,1418,318,125,3468,969,0,0,88,1272,261,0,52,46,2726,1860,2391,202,95,66,9,4,8,640,41,0,0,0,0,35,0,18,0,2862
Lombok Utara,23563,8675,4439,10449,1494,91,90,2453,1860,0,0,7,1974,231,475,2778,172,65,175,204,476,255,285,29,746,2188,0,0,0,118,411,431,711,52,2,221,847,0,0,26,69,4,17,0,81,1684,567,975,0,13,19,43,35,29,798,48,15,6,8,40,359,1,56,13,562
Kota Mataram,38478,14320,9269,14889,2502,14,164,3771,1613,45,241,208,2138,301,3323,3122,173,198,179,1054,474,2690,1118,262,172,2114,0,0,0,495,239,1124,466,129,6,171,2169,0,0,136,427,100,96,0,54,272,1313,918,36,1,21,78,22,557,792,104,98,81,0,19,82,9,197,51,2512
Kota Bima,34694,7612,8700,18382,1267,0,14,2742,1693,65,86,5,245,342,1153,3093,55,30,36,826,782,2032,1698,146,785,1639,0,0,0,843,232,754,1097,2461,0,233,944,0,0,11,971,258,0,0,0,3207,1315,1034,143,97,82,28,57,215,663,40,16,7,0,0,349,7,1,1,1677
Sumba Barat,19409,10824,3534,5051,647,13,3484,1011,2740,1053,15,0,209,0,1652,1648,220,2,0,34,247,1081,266,35,151,580,0,0,0,142,0,598,83,6,15,4,14,0,0,8,115,0,0,6,0,2068,18,150,7,4,4,0,8,15,731,31,0,0,0,28,51,0,0,0,365
Sumba Timur,19981,7513,4122,8346,364,36,2098,972,3516,367,0,3,48,0,109,1284,446,35,29,72,242,908,1079,27,1139,769,0,0,0,45,66,970,78,8,52,287,95,0,0,21,26,1347,9,0,24,3003,437,228,51,28,52,3,9,8,500,0,1,0,0,8,107,0,0,13,101
Kupang,14336,4875,3103,6358,703,84,1633,710,801,69,75,0,69,12,719,1032,536,8,5,22,68,856,565,11,569,1865,0,0,0,2,8,1324,177,6,2,26,6,0,0,54,211,291,22,0,14,1180,104,90,134,15,20,17,0,3,184,0,0,0,0,8,63,9,0,0,523
Timor Tengah Selatan,22298,13092,4467,4739,1742,216,2833,2683,5147,29,0,0,49,120,273,1711,617,0,0,12,173,1231,704,20,133,1265,0,0,0,0,1,443,15,0,0,27,92,0,0,164,26,0,0,0,0,2009,130,81,0,0,0,0,12,9,375,2,0,23,0,10,18,1,0,1,35
Timor Tengah Utara,19351,9722,4286,5343,1429,215,2500,1134,3782,40,3,0,82,4,533,1543,503,0,0,24,170,1080,833,133,286,1462,0,0,0,13,333,1317,75,47,114,30,31,0,0,73,54,6,97,97,7,137,88,0,6,0,0,94,0,54,891,105,0,29,0,15,22,15,0,0,131
Belu,18353,7107,4471,6775,1570,154,2661,814,1334,22,0,0,336,21,195,1713,369,0,4,101,212,790,1265,17,1302,2844,0,0,0,54,192,800,252,108,0,58,5,0,0,66,198,0,0,0,33,1177,195,91,20,0,19,6,18,50,268,9,0,0,0,16,205,0,0,4,87
Alor,16674,2312,3887,10475,254,9,493,432,680,252,11,0,49,7,125,1176,213,7,3,433,141,1155,735,24,971,1678,0,0,0,121,1368,273,252,0,33,11,22,0,0,19,1026,114,0,0,0,3584,66,764,250,122,17,0,5,53,26,20,0,0,0,0,549,0,17,2,83
Lembata,15681,2049,3582,10050,111,0,1032,122,561,96,0,0,8,0,119,1124,277,1,11,33,285,972,809,70,528,1533,0,0,0,117,2321,637,66,0,5,0,0,0,0,18,956,363,0,85,0,2286,39,355,61,51,0,5,0,47,86,205,56,7,0,0,547,0,80,28,96
Flores Timur,16356,3377,3442,9537,115,117,931,850,882,180,75,0,26,0,201,1606,174,0,5,25,393,826,356,57,817,1976,0,0,0,66,1958,1861,124,48,0,0,0,0,0,0,584,464,4,0,9,917,11,303,24,21,0,70,0,77,314,154,18,0,0,0,354,0,37,5,138
Sikka,14238,2075,2741,9422,106,58,477,336,736,59,61,0,43,0,199,948,131,1,7,20,291,872,468,2,554,1808,0,0,0,26,2786,275,222,24,0,0,0,0,0,10,265,20,0,0,0,2544,140,247,6,12,7,28,0,14,440,12,0,0,0,4,360,1,0,11,160
Ende,15709,2859,4616,8234,499,8,612,615,907,10,0,1,35,65,107,1463,227,0,5,55,424,1387,815,240,1111,1682,0,0,0,10,1114,2253,172,44,0,0,0,0,0,0,222,37,0,0,0,1315,31,79,0,0,2,21,34,11,665,0,0,0,0,0,342,0,0,0,200
Ngada,25353,8228,4697,12428,552,0,1576,593,3542,803,0,0,189,0,973,1978,432,0,4,11,190,1228,713,142,1093,2568,0,0,0,245,195,1703,178,5,0,31,35,0,0,104,192,0,0,0,0,2385,21,164,0,75,28,56,0,118,1618,62,4,28,0,0,628,37,37,14,1897
Manggarai,22124,6233,4827,11064,254,117,1858,1009,1412,248,0,0,161,0,1174,2057,224,5,0,23,111,1146,1195,66,611,1860,0,0,0,21,4,161,8,0,10,0,70,0,0,0,0,199,0,0,0,3396,43,105,20,57,46,98,15,47,313,3,0,0,10,0,606,0,0,56,3916
Rote Ndao,16111,5003,2576,8532,707,155,2505,869,523,59,0,0,21,36,128,857,159,0,0,8,119,834,553,46,1021,1811,0,0,0,288,363,495,181,57,0,18,0,0,0,25,972,1373,45,81,16,1649,227,483,20,9,14,0,0,4,125,17,0,0,0,0,94,0,52,0,113
Manggarai Barat,19365,4996,4051,10318,305,0,776,1507,1062,109,0,0,156,0,1081,1570,150,0,0,200,163,939,1028,0,1019,1814,0,0,0,276,2296,661,347,137,0,116,0,0,0,3,233,454,0,68,0,1226,55,55,64,15,332,100,28,93,347,134,5,0,0,0,362,0,0,33,1064
Sumba Tengah,21142,11128,3850,6164,257,105,3373,1013,3338,1243,125,0,162,0,1512,1061,824,24,6,24,256,733,908,14,209,647,0,0,0,45,65,103,189,0,167,94,134,0,0,209,29,91,2,0,0,1899,4,606,483,242,27,0,15,48,564,14,14,37,0,14,20,7,24,0,371
Sumba Barat Daya,18417,10545,2455,5417,489,158,3465,1041,2364,1803,20,0,36,138,1031,1068,370,0,0,31,62,351,566,8,433,807,0,0,0,53,32,117,303,38,0,0,34,0,0,4,364,164,0,31,3,1498,17,389,4,1,198,21,0,24,1004,19,0,0,0,15,62,0,63,0,152
Nagekeo,15171,4213,3419,7539,313,60,449,590,1806,80,0,0,73,0,842,1259,322,22,7,5,165,1198,353,87,767,1161,0,0,0,41,298,1011,127,134,0,104,0,0,0,0,123,79,0,0,0,2069,0,149,131,27,17,76,22,44,708,48,2,17,0,0,99,0,18,0,1034
Manggarai Timur,14015,2823,3300,7892,32,0,954,381,944,22,0,0,16,0,474,1398,380,0,4,9,243,665,603,0,268,1577,0,0,0,115,151,93,286,28,0,7,0,0,0,0,112,0,0,0,2,2467,3,0,0,20,7,71,6,103,395,0,3,4,4,4,375,0,0,18,2041
Sabu Raijua,26885,11279,4607,10999,154,289,5656,837,3800,27,30,0,68,0,418,998,803,0,0,2,345,1109,1341,10,1193,2996,0,0,0,26,0,342,358,3,0,0,0,0,0,41,1274,135,0,0,18,3665,28,1170,0,9,172,0,0,52,18,0,0,0,0,0,34,0,0,0,658
Malaka,17855,6681,3715,7459,1232,4,1415,1653,1903,60,0,0,167,10,237,1629,409,16,6,0,130,940,522,64,432,1203,0,0,0,4,145,1241,123,613,34,29,133,0,0,10,53,0,0,0,0,2419,158,5,39,3,0,62,0,16,400,14,23,8,0,61,477,7,0,28,151
Kota Kupang,30212,10165,8220,11827,630,0,2526,3027,931,98,296,56,993,164,1444,2845,113,0,17,221,200,3170,1537,118,1104,3128,0,0,0,59,20,4376,286,0,11,0,0,0,0,9,807,8,0,0,7,1583,216,94,46,4,0,51,0,9,205,0,2,0,0,2,154,13,0,12,725
Sambas,31041,7190,7694,16157,411,35,396,3862,579,0,9,0,1147,50,701,3636,87,71,46,62,662,1182,1945,3,539,3225,0,0,0,471,232,1359,53,1264,633,35,201,0,0,458,250,25,171,353,2,3196,944,366,69,0,562,103,0,43,1111,71,263,0,32,28,312,9,0,26,290
Bengkayang,27344,7850,6425,13069,246,0,1579,3698,1125,156,77,0,669,158,142,3366,166,53,1,96,664,483,1569,25,119,2290,0,0,0,349,116,1560,21,209,1592,54,488,0,0,513,7,0,158,134,0,2508,373,241,0,3,65,105,21,46,1084,21,361,23,27,38,595,11,0,20,36
Landak,28519,9378,6476,12665,127,0,2474,3167,2245,221,52,0,393,48,651,3118,141,14,15,49,680,1043,1406,10,97,1249,0,0,0,72,22,849,9,117,1430,34,1810,0,0,678,3,0,314,165,0,2486,265,55,0,23,52,313,37,15,1167,64,425,12,61,110,587,66,0,48,127
Mempawah,30953,8442,7346,15165,462,0,1128,3687,493,68,0,10,998,46,1550,3245,173,42,58,66,643,1073,2044,0,76,2152,0,0,0,383,99,3516,96,151,455,49,963,0,0,145,12,3,154,155,28,2415,1431,264,0,74,5,226,34,9,679,4,172,0,33,42,635,39,0,0,742
Sanggau,28507,8965,6694,12848,144,14,1429,4874,989,180,108,3,716,118,390,3380,163,35,37,59,698,968,1353,0,20,860,0,0,0,107,9,638,13,33,872,84,2450,0,0,869,22,0,425,485,114,2127,133,217,12,7,94,269,2,0,1352,9,336,0,216,207,577,146,3,49,111
Ketapang,36146,7376,8676,20094,603,47,562,3924,990,121,15,0,368,42,704,3647,212,19,19,64,636,1643,2302,135,33,824,0,0,0,287,258,2796,331,2927,1186,121,433,0,0,662,345,0,501,756,42,4854,1240,251,54,83,91,156,16,0,1000,17,67,15,91,48,395,41,16,3,187
Sintang,31796,9760,6391,15645,592,0,928,5662,1443,181,4,52,570,260,68,2791,281,0,73,41,743,1369,1008,87,59,884,0,0,0,28,0,560,339,35,856,53,2409,0,0,2150,17,28,842,785,22,2909,916,434,30,6,30,258,38,82,882,0,78,1,115,147,445,141,20,32,73
Kapuas Hulu,32417,9265,7423,15729,765,13,1041,4830,1208,165,215,0,685,139,204,3574,60,43,70,36,688,1183,1700,70,0,532,0,0,0,0,0,573,55,0,523,218,1121,0,0,660,26,0,1019,422,88,6377,284,377,0,0,66,40,11,31,900,19,136,0,115,83,1734,22,20,148,129
Sekadau,30602,9815,5750,15037,426,0,1464,5256,1575,318,26,0,390,150,210,3406,265,47,65,40,702,265,787,173,72,422,0,0,0,11,0,559,64,340,1265,281,1873,0,0,1535,0,22,592,1116,21,2931,98,13,8,36,37,135,8,18,1444,96,62,26,92,99,968,44,0,89,732
Melawi,27118,10043,5487,11588,674,0,1179,5839,1310,377,35,9,303,143,174,2728,123,32,27,81,624,719,1100,53,95,546,0,0,0,78,0,632,23,197,641,25,1644,0,0,1406,7,6,975,730,18,2100,76,22,65,20,8,105,7,22,852,27,272,0,83,362,532,76,5,13,13
Kayong Utara,33940,7127,8752,18061,292,47,51,2762,1861,74,0,16,545,57,1422,3275,135,116,14,231,748,2208,1956,68,66,1160,0,0,0,473,124,4551,69,741,270,0,170,0,0,68,345,10,110,636,25,4167,1964,752,138,16,167,94,5,15,621,43,0,12,5,84,874,80,0,59,213
Kubu Raya,27864,6408,7121,14335,603,0,241,2973,448,53,6,27,785,58,1214,3097,239,21,49,25,793,1217,1598,81,61,1752,0,0,0,306,54,3274,50,234,392,36,828,0,0,304,30,3,133,271,147,1933,1695,370,47,5,111,211,1,3,680,39,129,2,67,41,688,131,0,6,362
Kota Pontianak,42808,11760,11792,19256,1137,0,982,5813,290,11,181,122,855,515,1854,4061,107,27,225,446,673,3483,2101,669,277,2458,0,0,0,1178,85,3606,61,144,198,0,1985,0,0,489,238,0,238,668,67,1350,2674,1042,0,20,85,230,10,13,609,42,185,7,102,96,369,193,33,57,724
Kota Singkawang,41630,11703,10415,19512,878,0,2904,4434,689,32,85,127,1060,296,1198,4135,232,96,348,93,626,2386,2417,83,413,3556,0,0,0,1452,333,2805,321,295,206,3,362,0,0,138,205,4,169,918,62,2152,2922,733,256,7,6,309,81,132,1155,20,299,4,33,33,254,69,67,25,126
Kotawaringin Barat,42782,12621,12412,17749,501,130,37,6658,1204,61,0,55,1346,400,2229,4568,276,67,19,213,1480,2598,2561,632,20,947,0,0,0,125,7,1389,54,1149,1086,9,2570,0,0,739,235,22,828,529,41,1708,1832,615,68,91,21,271,0,170,62,21,32,42,82,142,744,106,0,73,1939
Kotawaringin Timur,33094,8299,8613,16182,537,230,18,5246,749,106,6,5,606,337,459,3332,267,96,38,107,1205,1933,1578,58,2,1182,0,0,0,34,1470,422,7,695,1561,37,2008,0,0,275,58,35,1846,999,84,1420,793,585,11,207,233,99,659,7,91,53,221,1,64,64,560,15,0,83,303
Kapuas,33670,8579,7037,18054,724,0,472,3942,619,42,0,18,1798,171,793,3303,263,202,35,374,728,1243,812,76,13,434,0,0,0,3,249,911,6,206,3379,103,2115,0,0,390,18,12,2410,215,48,2901,635,73,0,0,393,98,195,64,37,103,1160,3,300,36,530,9,0,118,900
Barito Selatan,31224,7284,8150,15790,203,0,497,4107,720,21,0,10,413,191,1122,3299,86,423,2,182,1122,1011,1927,97,0,176,0,0,0,0,166,49,29,17,2941,359,1242,0,0,276,19,0,2355,116,100,4030,150,0,0,0,106,64,16,65,37,31,324,0,409,89,1272,4,0,279,1069
Barito Utara,35724,10896,8277,16551,399,0,243,6296,670,41,58,0,666,141,2382,3943,111,169,3,35,857,1520,1629,10,0,327,0,0,0,25,97,229,16,202,1046,56,2201,0,0,533,28,4,3765,319,9,3297,272,133,4,0,0,250,111,65,73,15,525,0,87,119,986,18,3,228,1508
Sukamara,43727,12163,10765,20799,513,0,348,4822,1733,706,74,0,1047,319,2601,4555,130,22,13,213,1148,1456,3143,84,0,415,0,0,0,34,41,1229,66,1626,2020,84,1986,0,0,334,265,16,959,823,25,4735,2024,441,261,42,95,608,16,81,233,3,46,0,115,198,871,19,0,21,1067
Lamandau,53908,18871,12238,22799,559,0,1797,8869,2742,86,0,0,3194,227,1397,5396,293,22,6,317,1138,2142,2916,9,84,923,0,0,0,0,53,1218,56,1844,2287,78,3620,0,0,769,28,32,2898,1258,137,3731,330,102,0,0,22,568,150,107,67,39,123,34,367,272,670,6,1,103,906
Seruyan,41231,10402,11811,19018,370,0,56,6316,844,170,0,17,1656,150,823,4922,230,90,17,115,1679,2109,2650,0,57,536,0,0,0,97,271,519,130,604,2209,6,1978,0,0,379,55,39,3188,1349,88,3070,1028,178,440,45,333,36,93,101,149,75,101,1,334,339,480,26,90,6,645
Katingan,40652,9605,9342,21705,515,0,609,4885,1543,303,0,3,642,372,733,3712,454,202,0,125,922,2103,1816,8,93,653,0,0,0,47,103,15,161,234,3066,26,3838,0,0,473,64,17,3705,740,85,4406,392,170,110,0,59,63,44,78,108,23,343,19,641,424,810,7,21,108,652
Pulang Pisau,34867,8700,7561,18606,556,28,758,4128,1239,14,0,0,777,282,918,3103,327,130,44,221,1196,1299,1200,40,64,711,0,0,0,29,304,335,9,833,2477,71,2874,0,0,349,36,33,2809,992,77,2013,608,225,74,40,116,35,139,162,159,67,1068,33,323,141,692,21,12,94,645
Gunung Mas,50663,17713,8557,24393,331,0,4832,6822,1137,428,50,0,1284,215,2614,3685,271,70,73,215,1441,1233,1557,13,49,111,0,0,0,0,27,84,25,56,2124,95,5648,0,0,635,96,13,5437,1677,160,3911,201,49,13,91,77,15,44,49,121,35,370,0,259,444,1091,4,0,44,1387
Barito Timur,37275,11178,9468,16629,133,0,1733,3664,850,252,37,0,1467,189,2853,3215,202,403,18,187,713,1865,2604,262,0,218,0,0,0,35,236,180,17,60,2106,65,2759,0,0,301,0,37,2140,175,48,3464,300,162,47,35,1,25,0,71,26,8,340,0,83,54,1710,43,0,141,1742
Murung Raya,38363,12622,8470,17271,687,0,1394,6825,1260,104,46,12,974,109,1211,4686,67,94,35,138,775,739,1908,28,0,510,0,0,0,14,4,27,0,322,1346,40,3058,0,0,465,0,89,5549,963,22,2003,128,9,0,58,66,224,0,61,44,56,537,6,218,321,616,35,0,98,382
Kota Palangka Raya,53012,15962,12371,24679,759,40,1021,6811,800,82,132,34,1302,242,4739,4020,245,302,86,746,817,3435,2538,181,0,319,0,0,0,18,228,435,14,190,2134,76,6315,0,0,685,32,10,3269,173,20,3078,1035,458,30,12,52,39,243,12,102,11,385,0,134,171,744,44,5,50,4156
Tanah Laut,28246,5445,6764,16037,128,0,3,3484,381,0,0,66,628,317,438,2800,81,304,69,89,693,1105,1521,101,148,705,0,0,0,16,498,2530,45,135,1625,80,2554,0,0,394,123,19,1099,399,0,2656,824,547,4,0,189,38,154,116,85,38,238,0,67,37,225,22,10,5,560
Kota Baru,36665,6643,10925,19097,700,0,36,3407,589,34,12,0,619,146,1100,3765,99,216,26,308,1099,2286,3056,69,123,1480,0,0,0,126,682,3525,47,1388,430,57,1613,0,0,185,1121,15,531,609,5,2290,1369,744,345,109,13,42,115,161,97,70,168,28,19,91,468,12,6,47,1089
Banjar,33360,9708,8567,15085,595,0,0,3963,351,0,0,5,1946,333,2515,3520,93,584,76,144,619,1424,2040,67,13,474,0,0,0,13,141,1059,14,161,3062,42,2225,0,0,109,79,15,1135,106,44,2162,433,117,139,22,166,33,285,117,15,38,417,30,73,80,388,15,0,19,1857
Barito Kuala,28299,5976,6846,15477,98,0,14,2767,480,3,0,0,1010,131,1473,3194,160,398,14,223,658,899,1247,52,0,906,0,0,0,0,127,1698,7,241,2808,68,1044,0,0,36,14,3,893,404,2,2669,639,103,0,7,173,31,218,166,5,33,623,9,62,27,537,25,0,17,1882
Tapin,42531,11118,9024,22389,430,0,78,4824,345,13,29,0,2133,174,3092,3010,68,1384,72,383,771,1124,2164,47,97,323,0,0,0,32,184,1032,19,143,4523,164,4084,0,0,302,0,0,1235,107,39,3302,460,164,0,0,91,125,195,242,39,69,1199,6,372,85,74,3,4,7,3765
Hulu Sungai Selatan,29817,5364,6953,17500,91,0,15,2308,208,7,0,0,985,111,1639,1635,114,1699,49,401,348,666,1910,131,12,606,0,0,0,87,126,1170,9,91,3028,74,1473,0,0,70,0,3,299,6,0,4875,355,0,0,0,62,52,52,87,0,48,1128,30,155,148,171,9,0,6,3280
